protein_ID,ASCA_PC1_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC100892181.1.1.m.49777,0.0384745869101556,Yes,darkorange3,orange,Q9ET66,Peptidase inhibitor 16 (PI-16) (Cysteine-rich protease inhibitor) (CD antigen CD364),CRISP family,Pi16 Cripi,extracellular space [GO:0005615]; peptidase inhibitor activity [GO:0030414]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052],GO:0005615; GO:0030414; GO:0061052,GO:0061052,cell differentiation; growth; anatomical structure development
CHOYP_ADD.3.5.m.17639,0.0371223448330728,Yes,darkorange3,orange,Q02645,Protein hu-li tai shao (Adducin-like protein),Aldolase class II family; Adducin subfamily,hts CG9325,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; female germline ring canal inner rim [GO:0035183]; fusome [GO:0045169]; germline ring canal [GO:0045172]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; spectrosome [GO:0045170]; actin filament binding [GO:0051015]; spectrin binding [GO:0030507]; structural molecule activity [GO:0005198]; actin filament bundle assembly [GO:0051017]; actin filament bundle organization [GO:0061572]; adult somatic muscle development [GO:0007527]; axon guidance [GO:0007411]; barbed-end actin filament capping [GO:0051016]; centrosome cycle [GO:0007098]; cystoblast division [GO:0007282]; female germ-line cyst formation [GO:0048135]; female germline ring canal formation; actin assembly [GO:0008302]; fusome organization [GO:0045478]; germ-line cyst formation [GO:0048134]; germarium-derived oocyte fate determination [GO:0007294]; meiotic spindle organization [GO:0000212]; oogenesis [GO:0048477]; ovarian fusome organization [GO:0030723]; photoreceptor cell axon guidance [GO:0072499]; sarcomere organization [GO:0045214]; testicular fusome organization [GO:0030724],GO:0000212; GO:0005198; GO:0005737; GO:0005856; GO:0005886; GO:0007098; GO:0007282; GO:0007294; GO:0007411; GO:0007527; GO:0008302; GO:0014069; GO:0016328; GO:0030507; GO:0030723; GO:0030724; GO:0035183; GO:0044853; GO:0045169; GO:0045170; GO:0045172; GO:0045214; GO:0045478; GO:0048134; GO:0048135; GO:0048477; GO:0051015; GO:0051016; GO:0051017; GO:0061572; GO:0072499; GO:0098793; GO:0098794,GO:0048135,reproduction; cell proliferation; cell differentiation; anatomical structure development
CHOYP_SMP_012720.1.2.m.31152,0.0467349861475229,Yes,darkorange3,orange,Q9WUM3,Coronin-1B (Coronin-2),WD repeat coronin family,Coro1b,actin filament [GO:0005884]; cell leading edge [GO:0031252]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]; actin filament binding [GO:0051015]; Arp2/3 complex binding [GO:0071933]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; actin cytoskeleton organization [GO:0030036]; actin filament branching [GO:0090135]; actin filament bundle assembly [GO:0051017]; cell migration [GO:0016477]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; endothelial cell chemotaxis [GO:0035767]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]; negative regulation of lamellipodium morphogenesis [GO:2000393]; negative regulation of smooth muscle cell chemotaxis [GO:0071672]; positive regulation of lamellipodium morphogenesis [GO:2000394]; protein kinase C signaling [GO:0070528]; protein localization to cell leading edge [GO:1902463]; ruffle organization [GO:0031529]; wound healing [GO:0042060],GO:0001725; GO:0005737; GO:0005829; GO:0005884; GO:0005886; GO:0008092; GO:0016477; GO:0030027; GO:0030036; GO:0031252; GO:0031529; GO:0034316; GO:0035767; GO:0036120; GO:0042060; GO:0042802; GO:0044877; GO:0048471; GO:0051015; GO:0051017; GO:0070528; GO:0071672; GO:0071933; GO:0071944; GO:0090135; GO:1902463; GO:2000393; GO:2000394,GO:0035767; GO:0070528,signal transduction; locomotion; cell motility
CHOYP_LOC100377392.2.4.m.21904,0.0330433189374123,Yes,darkorange3,orange,P05539,Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin],Fibrillar collagen family,Col2a1,collagen trimer [GO:0005581]; collagen type II trimer [GO:0005585]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]; cartilage development [GO:0051216]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to mechanical stimulus [GO:0071260]; cellular response to nicotine [GO:0071316]; cellular response to parathyroid hormone stimulus [GO:0071374]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to retinoic acid [GO:0071300]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vitamin E [GO:0071306]; chondrocyte differentiation [GO:0002062]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; growth plate cartilage development [GO:0003417]; notochord development [GO:0030903]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; response to X-ray [GO:0010165]; skeletal system development [GO:0001501],GO:0001501; GO:0002062; GO:0003417; GO:0005201; GO:0005581; GO:0005585; GO:0005615; GO:0005737; GO:0009612; GO:0010165; GO:0030198; GO:0030199; GO:0030903; GO:0031012; GO:0046872; GO:0051216; GO:0060351; GO:0062023; GO:0071260; GO:0071300; GO:0071306; GO:0071316; GO:0071356; GO:0071374; GO:0071375; GO:0071774; GO:1990314,GO:0030903,embryo development; anatomical structure development
CHOYP_BRAFLDRAFT_118867.1.1.m.27944,-0.0286435598722,Yes,darkorange3,orange,P26221,Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1;4-beta-glucanase E-4),Glycosyl hydrolase 9 (cellulase E) family,celD,cellulase activity [GO:0008810]; cellulose binding [GO:0030248]; cellulose catabolic process [GO:0030245],GO:0008810; GO:0030245; GO:0030248,GO:0030245,carbohydrate metabolic process; catabolic process
CHOYP_DMOJ_GI18492.1.1.m.8903,0.0424269913121694,Yes,darkorange3,orange,Q95ZJ1,Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5),Glycosyltransferase 2 family; GalNAc-T subfamily,gly-5 Y39E4B.12,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; protein O-linked glycosylation via threonine [GO:0018243],GO:0000139; GO:0004653; GO:0005794; GO:0016021; GO:0018243; GO:0030246; GO:0046872,GO:0018243,cellular protein modification process; biosynthetic process
CHOYP_LOC100375029.6.10.m.36981,0.033597218426485,Yes,darkorange3,orange,O17389,Thymosin beta (Tetrathymosin beta),Thymosin beta family,tth-1 F08F1.8,cell cortex [GO:0005938]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015],GO:0003785; GO:0005829; GO:0005856; GO:0005938; GO:0007015; GO:0030054,GO:0007015,cytoskeleton organization
CHOYP_LOC100375029.8.10.m.60484,-0.0399099256208671,Yes,darkorange3,orange,O17389,Thymosin beta (Tetrathymosin beta),Thymosin beta family,tth-1 F08F1.8,cell cortex [GO:0005938]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015],GO:0003785; GO:0005829; GO:0005856; GO:0005938; GO:0007015; GO:0030054,GO:0007015,cytoskeleton organization
CHOYP_LOC100367535.1.2.m.4730,0.0301453954728997,Yes,darkorange3,orange,Q8R238,Serine dehydratase-like (EC 4.3.1.17) (L-serine deaminase) (L-serine dehydratase/L-threonine deaminase) (L-threonine dehydratase) (TDH) (EC 4.3.1.19) (SDH),Serine/threonine dehydratase family,Sdsl Sds,mitochondrion [GO:0005739]; identical protein binding [GO:0042802]; L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567],GO:0003941; GO:0004794; GO:0005739; GO:0006565; GO:0006567; GO:0042802,GO:0006567,cellular amino acid metabolic process; catabolic process; small molecule metabolic process
CHOYP_LOC100710578.1.1.m.62426,0.0425144191707291,Yes,darkorange3,orange,Q29448,Hydroxymethylglutaryl-CoA lyase; mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase),HMG-CoA lyase family,HMGCL,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; hydroxymethylglutaryl-CoA lyase activity [GO:0004419]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; ketone body biosynthetic process [GO:0046951]; leucine catabolic process [GO:0006552]; lipid metabolic process [GO:0006629]; mitochondrion organization [GO:0007005]; protein tetramerization [GO:0051262],GO:0000287; GO:0004419; GO:0005102; GO:0005739; GO:0005759; GO:0005777; GO:0006552; GO:0006629; GO:0007005; GO:0030145; GO:0042803; GO:0046872; GO:0046951; GO:0051262,GO:0006552,cellular amino acid metabolic process; catabolic process; small molecule metabolic process
